comment,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation
Why does Bulgaria exist as a country? It's one of those homosexual ones.,0.0,0.5,0.0,0.0,0.428571429,0.0,0.0,0.571428571
This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.,0.0,0.25,0.0,0.5,0.25,0.0,0.25,0.0
fucking slut deserved it,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",1.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
This Korean bitch is like a pig. That’s how they made an army of sumos there in their shithole country,0.0,0.833333333,0.0,0.0,1.0,0.0,0.0,0.0
"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?",0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"These women aren't autistic, they are smart, autistic people are retards, they make weird noises, they flap their hands. These people are not autistic.",0.0,0.0,0.166666667,0.0,0.0,0.833333333,0.0,0.0
Slow death to people like you,1.0,0.666666667,0.571428571,0.571428571,0.0,0.0,0.0,0.0
Native Americans are a fucking joke. They did not have even a decent mother language. ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
This homo faggot Spike Lee wore this at the Flopscers. Notice the blatant subliminal messages.,0.166666667,1.0,0.0,0.0,0.0,0.0,0.0,1.0
lesbians cant do math fucking mood lmao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Why don’t you go beck your god to murder you? Christianity is a joke,0.833333333,0.5,0.0,0.0,0.0,0.0,1.0,0.0
Islam is hell .  We Asian hate isalm...Islam bring only destruction..killing.  rape... rufugee.... Islam is hell .. Asian thought √∞¬ü¬ò¬Ç√∞¬ü¬ò¬Çsorry...but is true,0.333333333,0.0,0.0,0.0,0.166666667,0.0,0.833333333,0.0
"All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.",0.25,0.75,0.75,0.0,0.0,0.0,0.0,0.25
Men race is a subordinate of women,0.0,0.0,0.833333333,0.166666667,0.0,0.0,0.0,0.0
Well I thinks it ok to turn female to male because they then can be used in the military and be stronger but male to female shall be banned so I guess a form of trans is ok because it's better for the state,0.0,0.0,0.285714286,0.0,0.0,0.0,0.0,0.857142857
"Two things are apparent: one, not a male and two, your ass is indeed sorry that it's been turned into a drive-in.",0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5
Don't hit Women. Just fuck them and make them pregnant.,0.4,0.2,1.0,0.0,0.0,0.0,0.0,0.0
Why don't they just use handicapped restrooms for the mentally challenged? Problem solved!,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
phuck white rasist ass people,0.166666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fuck off niggers WV is full,0.333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
American Indians are finally almost extinguished,0.333333333,0.0,0.0,0.333333333,0.666666667,0.0,0.0,0.0
Fuck a freaking church brought together people. Well that’s power no matter fact,0.0,0.333333333,0.0,0.0,0.0,0.0,1.0,0.0
why the hell is this Norwegian speaking about our LAWS? SPEAK FOR YOUR OWN Scandinavian scam,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Weak beta male, hope he turns into a tranny after this traumatic experience, haha",0.022222222,0.933333333,0.434871795,0.0,0.0,0.0,0.0,0.597948718
