title,text,label,succ,meta,user,mentions,prev
First lady Obama takes swipe at Trump,"No, get it right. It's not Michelle, but in reality MICHAEL Obama. She is a he.",1,Is that the reason buckwheat pass the lgbt bill with the help of the other gay scotus for his dude.,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",Duckyy,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",By telling them they can't use the bathroom or facilities of the gender that they're living as and under medical and mental health guidance to live as...as they have been for decades.,0,someone use the bathroom of their actual gender is not discrimination. A man who identifies as a woman (or vice versa) does not mean he is a woman.,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,Andrew917,@mdr1975 @Andrew917 @rxwhitmer,"I agree that people should use the public bathroom that fits their actual gender, but what harm to society is caused by someone being transgender?"
Navy names ship after gay rights advocate Harvey Milk,"I will. So, you are saying the the AP is incorrect on that.",0,Yes I am. Have fun.,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",IndictHillary,@SamPatch @IndictHillary,That wasn't even a good try gomer.
"ICE program failing to rid US of dangerous illegal immigrants, analysts say",There is No God. Santa Never Came Down the Chimney. There is too much senseless Violence.,0,and yet these fools still vote for Dems,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",PittsburghSteel,,
Fury as feminist blames toddler alligator death on white 'entitlement',"I'm sure its getting some weird satisfaction in the attention this is garnering it. Maybe its parents ignored it. whatever, it's a creepy thing to say and speaks volumes about its own lack of intelligence, character and compassion. I feel sorry for it actually.",1,"In nature, it's parents would have killed it.","A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",justmary,,
Fury as feminist blames toddler alligator death on white 'entitlement',Well said!,0,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",saailer,@puleeze,Doesn't the hildabeeste bare a strange resemblance to an alligator?
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",lie you are redefining sense to mean disagreement,0,"No, I'm trying to figure out what you are saying. You're asking questions claiming someone wants stuff they haven't mentioned.",Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,wayne230,@mdr1975 @wayne230 @SB117,"I agree that people should use the public bathroom that fits their actual gender, but what harm to society is caused by someone being transgender?"
First lady Obama takes swipe at Trump,Michelle is lying...Trump sad he wants to build a wall to keep the illegals out and he wants to deport the illegals currently in the US...he never said he wanted to deport those that are here legally. The Democrats need the illegals here to vote for them!!,1,,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",debbie741,,
Navy names ship after gay rights advocate Harvey Milk,GFY!,0,,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",tpiper,@Tygher @EyeseeIt,Good to see the Conservative hate machine rev up. Keep it up Cons--- you're quickly becoming irrelevant. Or is this the Christ-like behavior you're always talking about?
Confederate flag debate: Protecting hatred preserves freedom,< why the ignorance?,0,,"The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",ustruth,@igaftr,"Not politically correct, just correct. There is no general E. Lee. Calling people names like ""gruber"", shows you are an immature child. Grow up."
