count,hate_speech,offensive_language,neither,class,tweet
3,0,3,0,1,RT @LameAssNerd: Braxton Curti a hoe ass nigga And wen I see him I'ma smack him like da lil bitch he is #300
3,0,3,0,1,deal with you bitches when I feel like it
3,0,2,1,1,Reading the ut sexual assault case takes me back 2 college.I'll never forget D Walk would say dont run trains on them hoes.Straight Trouble
3,1,2,0,1,And when I say DOH DOH DOH DOH bitch that be Kdot
3,0,0,3,2,"They were taking a picture and I saw a bird fly past and I was like, oh bird! @HeidyPalma21"
3,0,3,0,1,I'm about to push this niggah off my seat trying to squish me and shit
3,0,3,0,1,@NyJusDntGAF to late niggers died first
3,0,0,3,2,RT @wleerpcv: My Chinese social media feed is in total hysteria over the onset of bird flu &amp; recent dead pigs in the river in #Shang ...
3,0,3,0,1,"&#127850; RT @Ms_SadaClay: I love salad RT&#8220;@viaNAWF: Anyway fuck you hoes, eat a salad.&#8221;"
3,0,3,0,1,RT @CarterBoy_leake: If you fucked in car before you gotta know you a hoe &#128514;
3,0,3,0,1,Fake ass people. That's why I don't have no respect for em. Frontin ass bitches too
9,2,7,0,1,RT @Liveitupjersey: @ccass357 @1SleepingGiant trash him for name calling? Read your Shit to me Bitch! That's all you got!!!!
3,0,3,0,1,@porcelina33 i was raised the person that uses a gun and cant take an ass whipping is a pussy
3,0,3,0,1,Sessy's a bitch but is a real homie. Unlike Gabby.
3,1,0,2,2,That mocha colored chick doe&gt;&gt;&gt;&gt; think I fell in love&#128525;&#128525;&#128525;
3,0,3,0,1,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY"
3,0,0,3,2,@AustinBurge44 either way both schools are trash &#128521;
3,0,3,0,1,mickeyblowsyourmind: who wants to be a skype group with a bunch of offensive new york city queer folk Me!... http://t.co/BPgdvs8qD2
3,1,2,0,1,Fuck you bruh Ima look at your young bitch..
3,1,2,0,1,' Beat the pussy up till its red like rosters and after I fuck I get to moovin like the hoovas &#1040784;&#9996;&#65039; .
3,1,2,0,1,&#8220;@Erikaj00: I saw a girl scratch her private today.. What that mean?&#8221; Don't fuck her right in the pussy
3,0,3,0,1,@DavetheBrave1 come over hoe
3,0,3,0,1,She feelin a young niggah
6,2,4,0,1,RT @TurtleMcNasty: Well I'd love to stay and chat but you're a total bitch
3,0,3,0,1,"RT @officialbskip: I want a crazy bitch, they be loyal af &#128553;"
3,0,3,0,1,"RT @Chaaaauncey: Top 5 Cartoon bitches id fuck
1. Shego
2. Dexters mom
3. Lola bunny
4. Jessica rabbit
5. Timmy turner's mom"
3,1,2,0,1,Alex Smith saw his career leave with that fumble and reeled that bitch back in with everything he had.
3,0,3,0,1,RT @officialmckell: &amp; ima eat that pussy all filthy &#128525;
