tweet,sentiment,directness,annotator_sentiment,target,group
shut fat sweaty mongoloid. never get higher d. - stan #southpark,hateful_normal,direct,anger_confusion_sadness_indifference_disgust,disability,special_needs
@user @user look like dyke bruh ,normal,indirect,anger_fear_indifference_sadness_disgust,sexual_orientation,women
@user r word? mean retard?,offensive,indirect,sadness_indifference,disability,special_needs
i'm ur motivation twat @url,fearful_abusive,indirect,shock_disgust,gender,women
@user @user ='shithole x countriesn= rapists bad hombresn='sleepy eyed( jewish) opponentsn= @url,offensive,indirect,fear_disgust,origin,immigrants
@user @user @user @user runaway spic. ohhh im sorrry.,offensive_hateful,indirect,shock_disgust,origin,other
marko cunt.nntell something new. @url,fearful_abusive_offensive_hateful_normal,indirect,anger_disgust,other,other
old guy bangs young twat @url,fearful_abusive_offensive_hateful_disrespectful,indirect,sadness_indifference,gender,women
right twat?,offensive,direct,confusion_indifference,gender,women
@user see retarded,offensive,indirect,anger_disgust,disability,special_needs
aint never seen racist faggot... now. @url,offensive,indirect,sadness_indifference,sexual_orientation,other
megyn _who cares lew says_ain't even real raghead but_ @url,normal,indirect,anger_indifference,other,other
r shithole countries cuz american &amp; european imperialist capitalism helped make so...+ failing war @url,offensive,indirect,sadness_disgust,origin,other
@user @user ya like negro president,offensive,indirect,anger_fear_shock_sadness_disgust,origin,other
humor negro? @url,offensive,indirect,indifference_disgust,origin,african_descent
turkish president liar hates america fun raghead sucks big time,hateful,direct,anger_fear,origin,special_needs
@user calling people insensitive! that's best tweet day.. daft cunt,normal,indirect,anger_sadness_shock_indifference_disgust,other,women
ma'am major cunt muffin,offensive,direct,confusion_shock,gender,women
@user many dead illegal aliens vote blue november dems arent worried,offensive,indirect,anger_confusion_sadness_indifference_disgust,origin,special_needs
ever fuck asian girl fucking mongoloid,offensive,indirect,anger_indifference,origin,individual
funny #crypto today oct 28 2018. daily #cryptocurrency comical funny lame junk dank retard thread. help @url,offensive,indirect,confusion_fear_indifference_sadness_disgust,disability,special_needs
